"name","url","id"
"

Gegen die mögliche Y-Trassenvariante (Güterverkehr) über die aktuelle Heidebahn-Strecke","https://www.openpetition.de/petition/online/gegen-die-moegliche-y-trassenvariante-gueterverkehr-ueber-die-aktuelle-heidebahn-strecke",71
"

Ein klares NEIN zum Ponykarussell auf dem hannoverschen Schützenfest / allen Volksfesten","https://www.openpetition.de/petition/online/ein-klares-nein-zum-ponykarussel-auf-dem-hannoverschen-schuetzenfest",72
"

DB-Servicestelle im Bahnhof Rüdesheim am Rhein erhalten!","https://www.openpetition.de/petition/online/db-servicestelle-im-bahnhof-ruedesheim-am-rhein-erhalten",73
"

Anerkennung des E-Sports in Deutschland als Sportart","https://www.openpetition.de/petition/online/anerkennung-des-e-sports-in-deutschland-als-sportart",74
"

Umsteigen im Münchner Hauptbahnhof leichter machen – Bau einer zusätzlichen Bahnsteigverbindung","https://www.openpetition.de/petition/online/umsteigen-im-muenchner-hauptbahnhof-leichter-machen-bau-einer-zusaetzlichen-bahnsteigverbindung",75
"

Abschaffung von Tierversuchen","https://www.openpetition.de/petition/online/abschaffung-von-tierversuchen",76
"

Gleichstellung aller ehrenamtlicher Helfer im Rettungswesen !!!","https://www.openpetition.de/petition/online/gleichstellung-aller-ehrenamtlicher-helfer-im-rettungswesen",77
"

Kein Abriss des alten Nordbahnhofs in Bochum!","https://www.openpetition.de/petition/online/kein-abriss-des-alten-nordbahnhofs-in-bochum",78
"

Peter Brüser - Ehrenbürger der Gemeinde Wenden","https://www.openpetition.de/petition/online/peter-brueser-ehrenbuerger-der-gemeinde-wenden",79
"

Schutz der Soester Saatkrähen vor sinnlosen Vergrämungsaktionen durch Stadt und einzelne Bürger","https://www.openpetition.de/petition/online/schutz-der-soester-saatkraehen-vor-sinnlosen-vergraemungsaktionen-durch-stadt-und-einzelne-buerger",80
"

Stoppt Projekt 10 / 17! – Für eine dauerhafte Tunnellösung der Linie 10 nach Ahlem!","https://www.openpetition.de/petition/online/stoppt-projekt-10-17-fuer-eine-dauerhafte-tunnelloesung-der-linie-10-nach-ahlem",81
"

Stadtrat Wilde: Wir möchten bleiben - bitte helfen Sie uns!","https://www.openpetition.de/petition/online/stadtrat-wilde-wir-moechten-bleiben-bitte-helfen-sie-uns",82
"

fossilfreie Zukunft für Hamm – Bürgeranregung für Klimaschutz und gegen Gasbohren unterstützen","https://www.openpetition.de/petition/online/fossilfreie-zukunft-fuer-hamm-buergeranregung-fuer-klimaschutz-und-gegen-gasbohren-unterstuetzen",83
"

Petition für die Sofortige Wiedereröffnung der Polizeistation Bad Lobenstein","https://www.openpetition.de/petition/online/petition-fuer-die-sofortige-wiedereroeffnung-der-polizeistation-bad-lobenstein",84
"

StandKlimaanlage  in allen Lkws","https://www.openpetition.de/petition/online/standklimaanlage-in-allen-lkws",85
"

Keine Autobahn durch die Lechauen","https://www.openpetition.de/petition/online/keine-autobahn-durch-die-lechauen",86
"

Mehr Rechte, faire Gagen und soziale Absicherung darstellender Künstler","https://www.openpetition.de/petition/online/mehr-rechte-und-soziale-absicherung-darstellender-kuenstler",87
"

Zurückzahlen! Deutschland muss endlich seine bestehenden Kreditschulden an Griechenland begleichen.","https://www.openpetition.de/petition/online/zuruckzahlen-deutschland-muss-endlich-seine-bestehenden-kreditschulden-an-griechenland-begleichen",88
"

Erhaltung der Landeskapelle und des Landestheaters Eisenach!","https://www.openpetition.de/petition/online/erhaltung-der-landeskapelle-und-des-landestheaters-eisenach",89
"

Kein Zughalt mehr in Oberhof...nicht mit uns","https://www.openpetition.de/petition/online/kein-zughalt-mehr-in-oberhof-nicht-mit-uns",90
"

Keinen Gottesbezug in Schleswig-Holstein!","https://www.openpetition.de/petition/online/keinen-gottesbezug-in-schleswig-holstein",91
"

Die Familie Elezovikj/Mamutovska soll eine Aufenthaltserlaubnis erhalten","https://www.openpetition.de/petition/online/die-familie-elezovikj-mamutovska-soll-eine-aufenthaltserlaubnis-erhalten",92
"

Stand Klimaanlagen im LKW","https://www.openpetition.de/petition/online/stand-klimaanlagen-im-lkw",93
"

Kein 23-Meter-Bettenturm am Kronberger Bahnhof","https://www.openpetition.de/petition/online/kein-23-meter-bettenturm-am-kronberger-bahnhof",94
"

Langfristige Wiederaufnahme des Pfarramtes von Hr. Pfarrer Lindner in der Pfarrgemeinde Dermbach","https://www.openpetition.de/petition/online/wiederaufnahme-des-pfarramtes-von-hr-pfarrer-lindner-in-der-pfarrgemeinde-dermbach",95
"

DB-Fernverkehrshalt für Naumburg/Saale, Jena, Weimar und Mitteldeutschland","https://www.openpetition.de/petition/online/db-fernverkehrshalt-fuer-naumburg-saale-jena-weimar-und-mitteldeutschland",96
"

Bürgerinitiative gegen die Asphaltmischanlage Taben-Rodt","https://www.openpetition.de/petition/online/burgerinitiative-gegen-die-asphaltmischanlage-taben-rodt",97
"

Rettet Juni - Ein Herz für Juni!","https://www.openpetition.de/petition/online/rettet-juni",98
